lat,lon,u_wind,v_wind,u_current,v_current
-68.0,59.5,4.409,2.046,0.096,0.0645
-68.0,59.8,3.16,2.233,0.0871,0.0639
-68.0,60.1,4.271,2.365,0.1059,0.0605
-68.0,60.4,3.534,2.937,0.1254,0.0805
-68.0,60.7,3.342,2.729,0.0914,0.069
-68.0,61.0,4.979,2.64,0.119,0.0842
-67.8,59.5,4.686,2.776,0.096,0.0516
-67.8,59.8,3.631,2.268,0.0948,0.0971
-67.8,60.1,4.753,2.315,0.1259,0.0698
-67.8,60.4,4.829,2.459,0.0985,0.0623
-67.8,60.7,4.123,2.263,0.1209,0.0949
-67.8,61.0,3.799,2.219,0.1498,0.0755
-67.6,59.5,3.182,2.047,0.0877,0.0814
-67.6,59.8,4.584,2.422,0.0844,0.0691
-67.6,60.1,4.992,2.529,0.148,0.093
-67.6,60.4,3.023,2.721,0.1277,0.0768
-67.6,60.7,3.534,2.641,0.0878,0.0717
-67.6,61.0,3.907,2.954,0.1413,0.0632
-67.4,59.5,4.001,2.179,0.1439,0.0935
-67.4,59.8,3.597,2.639,0.1226,0.0576
-67.4,60.1,4.525,2.539,0.1345,0.0765
-67.4,60.4,3.001,2.324,0.0814,0.0965
-67.4,60.7,4.757,2.832,0.1015,0.0529
-67.4,61.0,4.756,2.947,0.086,0.0743
-67.2,59.5,3.138,2.761,0.1336,0.0564
-67.2,59.8,3.951,2.55,0.0986,0.0936
-67.2,60.1,3.846,2.212,0.1178,0.0865
-67.2,60.4,3.402,2.312,0.1497,0.0825
-67.2,60.7,3.876,2.518,0.0885,0.0612
-67.2,61.0,3.676,2.588,0.0961,0.061
-67.0,59.5,3.142,2.631,0.096,0.0953
-67.0,59.8,4.719,2.071,0.0967,0.0834
-67.0,60.1,3.428,2.132,0.1455,0.0786
-67.0,60.4,3.945,2.785,0.1365,0.0595
-67.0,60.7,3.194,2.431,0.1097,0.0734
-67.0,61.0,4.458,2.673,0.1489,0.0549
